w,q2,n_present,n_missing,completeness_pct
1.487,0.3,900,0,100.0
1.487,0.4276,900,0,100.0
1.487,0.5552,900,0,100.0
1.487,0.6828,900,0,100.0
1.487,0.8103,900,0,100.0
1.487,0.9379,900,0,100.0
1.487,1.0655,900,0,100.0
1.487,1.1931,900,0,100.0
1.487,1.3207,900,0,100.0
1.487,1.4483,900,0,100.0
1.487,1.5759,900,0,100.0
1.487,1.7034,900,0,100.0
1.487,1.831,900,0,100.0
1.487,1.9586,900,0,100.0
1.487,2.0862,900,0,100.0
1.487,2.2138,900,0,100.0
1.487,2.3414,899,1,99.89
1.487,2.469,900,0,100.0
1.487,2.5966,900,0,100.0
1.487,2.7241,900,0,100.0
1.487,2.8517,900,0,100.0
1.487,2.9793,900,0,100.0
1.487,3.1069,900,0,100.0
1.487,3.2345,900,0,100.0
1.487,3.3621,900,0,100.0
1.487,3.4897,900,0,100.0
1.487,3.6172,900,0,100.0
1.487,3.7448,900,0,100.0
1.487,3.8724,900,0,100.0
1.487,4.0,900,0,100.0
1.5047,0.3,900,0,100.0
1.5047,0.4276,900,0,100.0
1.5047,0.5552,900,0,100.0
1.5047,0.6828,900,0,100.0
1.5047,0.8103,900,0,100.0
1.5047,0.9379,900,0,100.0
1.5047,1.0655,900,0,100.0
1.5047,1.1931,900,0,100.0
1.5047,1.3207,900,0,100.0
1.5047,1.4483,900,0,100.0
1.5047,1.5759,900,0,100.0
1.5047,1.7034,900,0,100.0
1.5047,1.831,900,0,100.0
1.5047,1.9586,900,0,100.0
1.5047,2.0862,900,0,100.0
1.5047,2.2138,900,0,100.0
1.5047,2.3414,900,0,100.0
1.5047,2.469,900,0,100.0
1.5047,2.5966,900,0,100.0
1.5047,2.7241,900,0,100.0
1.5047,2.8517,900,0,100.0
1.5047,2.9793,900,0,100.0
1.5047,3.1069,900,0,100.0
1.5047,3.2345,900,0,100.0
1.5047,3.3621,900,0,100.0
1.5047,3.4897,900,0,100.0
1.5047,3.6172,900,0,100.0
1.5047,3.7448,900,0,100.0
1.5047,3.8724,900,0,100.0
1.5047,4.0,900,0,100.0
1.5223,0.3,900,0,100.0
1.5223,0.4276,760,140,84.44
1.5223,0.5552,900,0,100.0
1.5223,0.6828,900,0,100.0
1.5223,0.8103,900,0,100.0
1.5223,0.9379,900,0,100.0
1.5223,1.0655,900,0,100.0
1.5223,1.1931,900,0,100.0
1.5223,1.3207,900,0,100.0
1.5223,1.4483,900,0,100.0
1.5223,1.5759,900,0,100.0
1.5223,1.7034,900,0,100.0
1.5223,1.831,900,0,100.0
1.5223,1.9586,900,0,100.0
1.5223,2.0862,900,0,100.0
1.5223,2.2138,900,0,100.0
1.5223,2.3414,900,0,100.0
1.5223,2.469,900,0,100.0
1.5223,2.5966,890,10,98.89
1.5223,2.7241,900,0,100.0
1.5223,2.8517,900,0,100.0
1.5223,2.9793,900,0,100.0
1.5223,3.1069,900,0,100.0
1.5223,3.2345,900,0,100.0
1.5223,3.3621,900,0,100.0
1.5223,3.4897,900,0,100.0
1.5223,3.6172,900,0,100.0
1.5223,3.7448,900,0,100.0
1.5223,3.8724,900,0,100.0
1.5223,4.0,900,0,100.0
1.54,0.3,900,0,100.0
1.54,0.4276,890,10,98.89
1.54,0.5552,900,0,100.0
1.54,0.6828,900,0,100.0
1.54,0.8103,900,0,100.0
1.54,0.9379,900,0,100.0
1.54,1.0655,900,0,100.0
